name,P0,P1,gl,gb,nobs,m0,f0,fe0,s0,r0,re0,maxmed0,m1,f1,fe1,s1,r1,re1,maxmed1,m2,f2,fe2,s2,r2,re2,maxmed2,m3,f3,fe3,s3,r3,re3,maxmed3,m4,f4,fe4,s4,r4,re4,maxmed4,m5,f5,fe5,s5,r5,re5,maxmed5,m6,f6,fe6,s6,r6,re6,maxmed6,m7,f7,fe7,s7,r7,re7,maxmed7,index,ind_err,s1400,dm
J1658-5324,0.002439,1.11e-20,334.869,-6.625,50,1.067,1.242,0.103,0.729,0.587,0.108,3.817,0.88,1.259,0.13,0.922,0.732,0.15,5.3,0.784,0.991,0.107,0.753,0.76,0.158,4.908,0.591,0.749,0.077,0.545,0.728,0.148,5.24,0.447,0.617,0.086,0.608,0.985,0.237,7.41,0.354,0.59,0.085,0.603,1.021,0.251,7.913,0.381,0.577,0.083,0.589,1.021,0.25,7.331,0.293,0.379,0.05,0.353,0.932,0.217,6.015,-2.086,0.22,0.594,30.8297
J1705-1903,0.00248,2.15e-20,3.248,13.03,60,1.196,1.15,0.058,0.448,0.39,0.055,1.705,1.082,1.059,0.053,0.41,0.388,0.055,1.84,0.966,0.969,0.046,0.358,0.369,0.052,1.876,0.875,0.891,0.041,0.318,0.357,0.049,1.934,0.733,0.779,0.036,0.277,0.355,0.049,2.143,0.665,0.691,0.032,0.246,0.357,0.049,1.941,0.579,0.615,0.03,0.232,0.377,0.053,2.084,0.53,0.544,0.024,0.188,0.345,0.047,1.933,-1.403,0.096,0.704,57.50571
J1708-3506,0.004505,1.14e-20,350.47,3.124,61,3.571,3.462,0.05,0.389,0.112,0.012,1.18,2.949,2.898,0.039,0.306,0.106,0.011,1.149,2.469,2.422,0.035,0.27,0.111,0.012,1.243,2.017,2.003,0.026,0.207,0.103,0.011,1.256,1.707,1.695,0.022,0.173,0.102,0.011,1.234,1.471,1.46,0.019,0.149,0.102,0.011,1.198,1.271,1.267,0.021,0.163,0.129,0.014,1.199,1.075,1.044,0.024,0.187,0.179,0.021,1.193,-2.156,0.031,1.517,146.7671
J1713+0747,0.00457,8.530000000000001e-21,28.751,25.223,74,7.894,9.749,0.777,6.688,0.686,0.111,4.631,6.193,8.459,1.049,9.026,1.067,0.221,11.843,6.205,9.263,1.442,12.406,1.339,0.319,15.539,5.509,8.279,1.183,10.175,1.229,0.277,13.485,5.719,6.804,0.603,5.191,0.763,0.131,4.666,5.105,6.911,0.882,7.589,1.098,0.231,10.472,4.574,6.254,0.673,5.794,0.926,0.176,6.519,3.609,5.667,0.665,5.72,1.009,0.202,10.531,-0.954,0.201,6.743,15.99054
J1719-1438,0.00579,8.04e-21,8.858,12.838,76,0.958,1.088,0.06,0.524,0.481,0.066,3.194,0.774,0.886,0.053,0.458,0.517,0.073,3.049,0.619,0.794,0.064,0.56,0.705,0.115,5.402,0.491,0.562,0.041,0.354,0.631,0.097,3.682,0.355,0.485,0.044,0.383,0.79,0.136,6.015,0.278,0.362,0.03,0.266,0.733,0.122,4.828,0.25,0.325,0.028,0.248,0.764,0.129,4.711,0.178,0.295,0.043,0.375,1.272,0.289,14.45,-2.557,0.155,0.411,36.77585
J1721-2457,0.003497,5.540000000000001e-21,0.387,6.751,48,2.151,2.109,0.077,0.53,0.251,0.035,1.547,1.862,1.791,0.069,0.48,0.268,0.038,1.552,1.559,1.535,0.068,0.469,0.305,0.045,1.725,1.404,1.407,0.073,0.504,0.358,0.055,1.872,1.177,1.191,0.064,0.441,0.371,0.058,2.015,1.01,1.093,0.067,0.467,0.427,0.07,2.249,0.974,0.988,0.065,0.451,0.457,0.077,2.479,0.737,0.809,0.047,0.325,0.401,0.065,2.241,-1.665,0.095,1.097,48.234
J1730-2304,0.008123,2.02e-20,3.137,6.023,73,7.173,7.978,0.452,3.861,0.484,0.068,3.051,5.725,6.785,0.395,3.375,0.497,0.07,3.239,5.316,6.299,0.426,3.636,0.577,0.087,3.104,4.567,5.575,0.38,3.25,0.583,0.088,3.101,2.756,4.053,0.327,2.79,0.688,0.113,5.285,2.309,3.792,0.383,3.275,0.864,0.159,8.902,2.669,3.2,0.252,2.156,0.674,0.109,4.326,1.769,2.651,0.378,3.232,1.219,0.276,13.354,-1.92,0.154,3.913,9.62541
J1731-1847,0.002345,2.54e-20,6.89,8.151,14,1.024,1.024,0.039,0.145,0.141,0.033,1.223,0.833,0.833,0.031,0.117,0.141,0.033,1.252,0.695,0.695,0.026,0.099,0.142,0.033,1.251,0.535,0.51,0.029,0.107,0.21,0.053,1.274,0.484,0.454,0.028,0.103,0.228,0.058,1.19,0.41,0.381,0.023,0.086,0.226,0.058,1.171,0.361,0.359,0.026,0.098,0.272,0.073,1.391,0.307,0.297,0.02,0.076,0.256,0.068,1.3,-2.331,0.103,0.412,106.4724
J1732-5049,0.005313,1.42e-20,340.029,-9.454,87,3.347,4.229,0.279,2.598,0.614,0.087,4.422,2.6,3.339,0.243,2.266,0.679,0.101,4.834,2.321,3.056,0.224,2.086,0.683,0.102,5.684,2.215,2.575,0.209,1.954,0.759,0.12,5.103,1.732,2.336,0.218,2.031,0.87,0.147,8.153,1.571,2.016,0.189,1.764,0.875,0.149,5.968,1.219,1.745,0.153,1.423,0.816,0.133,5.121,1.02,1.408,0.133,1.238,0.879,0.15,7.083,-1.869,0.158,2.016,56.82262
J1737-0811,0.004175,7.930000000000001e-21,16.933,12.318,79,2.501,2.462,0.068,0.607,0.247,0.027,1.499,2.033,2.071,0.054,0.483,0.233,0.025,1.735,1.795,1.807,0.045,0.397,0.22,0.023,1.536,1.467,1.506,0.045,0.397,0.264,0.029,1.99,1.257,1.285,0.037,0.332,0.258,0.028,1.756,1.068,1.102,0.032,0.287,0.261,0.029,1.725,0.917,0.946,0.029,0.254,0.269,0.03,2.228,0.829,0.861,0.034,0.299,0.347,0.041,2.063,-1.99,0.06,1.153,55.3049
J1744-1134,0.004075,8.930000000000001e-21,14.794,9.18,75,3.639,6.49,0.827,7.158,1.103,0.231,9.504,2.643,4.627,0.617,5.348,1.156,0.249,9.951,2.378,3.854,0.426,3.687,0.957,0.184,6.195,2.435,3.42,0.434,3.759,1.099,0.23,9.12,1.724,3.33,0.414,3.586,1.077,0.222,10.219,1.765,3.115,0.36,3.116,1.0,0.198,5.995,1.826,2.963,0.359,3.113,1.051,0.214,7.867,1.754,2.501,0.301,2.611,1.044,0.212,6.447,-1.48,0.247,3.115,3.13842
J1747-4036,0.001646,1.32e-20,350.208,-6.412,75,3.819,3.888,0.085,0.74,0.19,0.02,1.504,3.164,3.134,0.06,0.516,0.165,0.017,1.365,2.574,2.569,0.045,0.389,0.152,0.015,1.469,2.116,2.12,0.037,0.32,0.151,0.015,1.33,1.695,1.725,0.03,0.263,0.152,0.015,1.314,1.395,1.422,0.025,0.213,0.15,0.015,1.403,1.173,1.205,0.028,0.24,0.199,0.021,1.556,0.946,0.982,0.029,0.248,0.252,0.028,1.689,-2.499,0.044,1.502,152.9373
J1751-2857,0.003915,1.12e-20,0.646,-1.124,74,0.778,0.779,0.021,0.182,0.233,0.026,1.619,0.692,0.701,0.021,0.18,0.257,0.029,1.562,0.592,0.616,0.018,0.153,0.249,0.028,1.668,0.555,0.559,0.016,0.135,0.242,0.027,1.735,0.48,0.49,0.016,0.135,0.275,0.032,1.72,0.466,0.465,0.015,0.126,0.27,0.031,1.812,0.393,0.408,0.012,0.102,0.251,0.028,2.016,0.326,0.366,0.013,0.112,0.306,0.036,2.178,-1.371,0.06,0.462,42.78873
J1756-2251,0.028462,1.02e-18,6.499,0.948,95,1.738,1.702,0.023,0.224,0.131,0.011,1.214,1.608,1.55,0.022,0.215,0.139,0.012,1.207,1.414,1.406,0.021,0.206,0.147,0.013,1.288,1.305,1.278,0.022,0.217,0.169,0.015,1.363,1.177,1.143,0.021,0.206,0.181,0.017,1.371,1.056,1.029,0.02,0.196,0.191,0.018,1.405,0.961,0.927,0.019,0.182,0.197,0.018,1.4,0.858,0.826,0.018,0.172,0.208,0.02,1.377,-1.296,0.034,1.05,121.2258
J1757-5322,0.00887,2.69e-20,339.637,-13.98,93,3.135,3.246,0.11,1.064,0.328,0.035,2.094,2.716,2.916,0.117,1.13,0.388,0.044,2.711,2.143,2.372,0.103,0.993,0.419,0.049,2.561,2.013,2.191,0.117,1.131,0.516,0.066,3.578,1.594,1.836,0.088,0.848,0.462,0.056,2.545,1.579,1.702,0.087,0.841,0.494,0.062,2.726,1.181,1.438,0.086,0.832,0.578,0.077,3.602,1.036,1.419,0.124,1.195,0.842,0.136,8.206,-1.638,0.097,1.726,30.80474
J1801-1417,0.003625,5.300000000000001e-21,14.546,4.162,73,3.073,3.225,0.13,1.108,0.344,0.042,2.027,2.686,2.757,0.11,0.937,0.34,0.042,2.136,2.272,2.441,0.097,0.829,0.34,0.042,2.033,1.985,2.148,0.091,0.775,0.361,0.045,2.477,1.816,1.848,0.079,0.678,0.367,0.046,1.959,1.516,1.624,0.073,0.62,0.382,0.049,2.57,1.338,1.475,0.072,0.617,0.419,0.055,2.531,1.162,1.259,0.06,0.517,0.41,0.054,2.576,-1.696,0.087,1.684,57.25243
J1802-2124,0.012648,7.29e-20,8.382,0.611,72,2.039,2.064,0.038,0.323,0.156,0.016,1.376,1.613,1.634,0.029,0.247,0.151,0.015,1.409,1.301,1.315,0.024,0.203,0.154,0.016,1.414,1.045,1.078,0.021,0.178,0.165,0.017,1.492,0.856,0.89,0.017,0.146,0.164,0.017,1.493,0.733,0.754,0.016,0.132,0.175,0.018,1.482,0.623,0.641,0.014,0.122,0.19,0.02,1.521,0.519,0.531,0.012,0.105,0.198,0.021,1.497,-2.469,0.04,0.785,149.5928
J1804-2717,0.009343,4.09e-20,3.505,-2.736,36,3.173,3.746,0.314,1.885,0.503,0.102,2.355,2.29,2.694,0.275,1.648,0.612,0.136,3.119,1.747,2.141,0.222,1.332,0.622,0.139,3.676,1.513,2.027,0.278,1.67,0.824,0.212,5.208,1.403,1.7,0.262,1.571,0.924,0.253,5.485,1.141,1.801,0.356,2.138,1.187,0.377,11.037,1.025,1.762,0.339,2.034,1.154,0.36,9.536,0.85,1.324,0.244,1.466,1.107,0.337,7.775,-1.805,0.263,1.672,24.671
J1804-2858,0.001493,-8.53e-22,1.995,-3.498,45,1.392,1.382,0.038,0.255,0.185,0.025,1.379,1.374,1.414,0.031,0.207,0.146,0.019,1.391,1.333,1.344,0.033,0.22,0.164,0.021,1.432,1.219,1.246,0.028,0.19,0.153,0.02,1.338,1.07,1.061,0.017,0.111,0.105,0.013,1.215,0.939,0.936,0.016,0.109,0.117,0.014,1.23,0.739,0.756,0.014,0.096,0.127,0.016,1.283,0.652,0.657,0.018,0.12,0.183,0.024,1.425,-1.463,0.047,0.93,232.5176
J1811-2405,0.002661,1.34e-20,7.073,-2.559,119,3.034,3.113,0.058,0.631,0.203,0.017,1.484,2.633,2.645,0.048,0.529,0.2,0.017,1.441,2.194,2.258,0.044,0.482,0.213,0.018,1.48,1.923,1.942,0.039,0.42,0.216,0.018,1.513,1.666,1.687,0.031,0.339,0.201,0.017,1.648,1.434,1.436,0.028,0.31,0.216,0.018,1.692,1.237,1.272,0.028,0.305,0.24,0.021,1.734,1.094,1.097,0.026,0.287,0.261,0.023,1.829,-1.904,0.041,1.501,60.62017
J1825-0319,0.004554,6.8e-21,27.045,4.138,73,0.359,0.364,0.009,0.075,0.206,0.022,1.427,0.328,0.331,0.008,0.066,0.201,0.021,1.572,0.298,0.294,0.007,0.064,0.218,0.024,1.526,0.264,0.264,0.007,0.056,0.214,0.023,1.577,0.223,0.222,0.005,0.045,0.204,0.022,1.481,0.213,0.206,0.004,0.038,0.185,0.019,1.295,0.18,0.181,0.005,0.046,0.255,0.029,1.657,0.164,0.162,0.005,0.041,0.255,0.029,1.639,-1.506,0.051,0.209,119.56123
J1832-0836,0.002719,8.620000000000001e-21,23.109,0.257,54,1.562,1.816,0.122,0.899,0.495,0.081,3.468,1.389,1.513,0.105,0.769,0.509,0.085,3.005,1.22,1.38,0.1,0.732,0.53,0.09,3.587,1.083,1.265,0.109,0.798,0.631,0.115,3.79,0.836,1.106,0.093,0.68,0.615,0.111,4.726,0.74,0.982,0.111,0.814,0.829,0.174,6.702,0.72,0.918,0.126,0.926,1.009,0.237,8.541,0.56,0.69,0.054,0.397,0.575,0.101,3.183,-1.663,0.161,0.958,28.19059
J1843-1113,0.001846,9.550000000000001e-21,22.055,-3.397,73,1.127,1.172,0.051,0.433,0.369,0.047,1.984,0.904,0.968,0.04,0.343,0.354,0.044,2.194,0.769,0.833,0.038,0.324,0.389,0.05,2.104,0.692,0.714,0.033,0.283,0.397,0.051,2.072,0.578,0.63,0.032,0.27,0.428,0.057,2.457,0.473,0.552,0.03,0.26,0.471,0.065,2.452,0.436,0.513,0.033,0.284,0.553,0.082,3.542,0.396,0.465,0.038,0.328,0.706,0.117,5.613,-1.737,0.108,0.581,59.95884
J1843-1448,0.005471,6.21e-21,18.782,-4.871,38,1.003,0.99,0.014,0.084,0.084,0.011,1.12,0.906,0.906,0.011,0.065,0.072,0.009,1.185,0.781,0.787,0.011,0.069,0.087,0.011,1.209,0.682,0.683,0.011,0.066,0.097,0.013,1.168,0.598,0.591,0.009,0.055,0.094,0.012,1.13,0.512,0.515,0.009,0.054,0.105,0.014,1.171,0.441,0.443,0.008,0.052,0.117,0.016,1.245,0.407,0.406,0.008,0.051,0.126,0.017,1.299,-1.699,0.032,0.535,114.541
J1902-5105,0.001742,9.200000000000001e-21,345.65,-22.379,78,3.255,3.295,0.057,0.506,0.153,0.015,1.41,2.478,2.487,0.046,0.406,0.163,0.016,1.548,1.91,1.899,0.038,0.333,0.175,0.018,1.536,1.472,1.501,0.031,0.273,0.182,0.018,1.623,1.132,1.164,0.022,0.193,0.165,0.016,1.416,0.962,0.956,0.02,0.18,0.189,0.019,1.65,0.772,0.771,0.019,0.171,0.221,0.023,1.737,0.618,0.641,0.017,0.148,0.23,0.025,1.895,-3.021,0.041,1.008,36.25095
J1903-7051,0.003598,1.17e-20,324.391,-26.508,90,1.342,1.903,0.159,1.505,0.791,0.125,5.606,1.087,1.647,0.143,1.359,0.825,0.134,6.024,0.874,1.385,0.138,1.31,0.946,0.165,6.961,0.759,1.191,0.131,1.245,1.046,0.194,10.689,0.583,1.054,0.134,1.267,1.202,0.243,14.458,0.566,0.872,0.102,0.968,1.11,0.213,8.789,0.447,0.75,0.086,0.813,1.084,0.205,10.318,0.464,0.753,0.088,0.835,1.109,0.213,10.388,-1.842,0.199,0.935,19.66098
J1909-3744,0.002947,1.4e-20,359.731,-19.596,192,2.523,3.615,0.224,3.103,0.858,0.097,7.21,2.273,3.031,0.188,2.609,0.861,0.098,8.051,1.783,2.424,0.208,2.884,1.19,0.163,18.244,1.307,2.113,0.159,2.209,1.046,0.132,12.932,1.226,2.11,0.18,2.488,1.179,0.161,17.124,1.165,1.905,0.176,2.443,1.283,0.184,18.022,0.99,1.712,0.203,2.815,1.644,0.279,30.358,0.695,1.596,0.228,3.154,1.977,0.383,46.706,-1.544,0.173,1.895,10.390769
J1911-1114,0.003626,1.39e-20,25.137,-9.579,39,2.167,2.6,0.235,1.467,0.564,0.116,3.007,1.712,1.987,0.169,1.058,0.533,0.107,3.125,1.43,1.68,0.142,0.889,0.529,0.106,2.644,1.053,1.171,0.095,0.596,0.509,0.1,2.948,0.847,1.07,0.101,0.63,0.589,0.123,3.395,0.716,0.917,0.1,0.622,0.678,0.151,3.731,0.586,0.812,0.119,0.744,0.917,0.24,6.04,0.528,0.676,0.094,0.585,0.865,0.219,5.408,-2.502,0.215,0.946,30.9704
J1918-0642,0.007646,2.57e-20,30.027,-9.123,76,3.464,3.54,0.11,0.96,0.271,0.031,2.187,2.987,3.178,0.126,1.097,0.345,0.042,2.544,2.717,2.738,0.099,0.862,0.315,0.037,1.862,2.161,2.35,0.112,0.978,0.416,0.054,2.362,1.789,2.008,0.101,0.882,0.439,0.058,2.75,1.697,1.787,0.078,0.682,0.381,0.048,2.068,1.235,1.43,0.09,0.787,0.55,0.08,3.742,1.026,1.225,0.085,0.742,0.605,0.091,4.244,-1.835,0.089,1.795,26.58841
J1933-6211,0.003543,3.8700000000000004e-21,334.431,-28.632,95,1.086,2.102,0.261,2.54,1.208,0.238,12.922,0.917,1.831,0.225,2.196,1.199,0.235,12.94,0.604,1.329,0.186,1.809,1.361,0.289,17.029,0.474,1.025,0.16,1.56,1.522,0.349,22.38,0.56,1.086,0.163,1.59,1.464,0.327,16.496,0.565,1.014,0.145,1.41,1.391,0.3,18.101,0.527,0.851,0.115,1.12,1.316,0.274,15.908,0.484,0.835,0.11,1.067,1.279,0.261,12.55,-1.756,0.258,1.006,11.51273
J1946-5403,0.002711,2.7800000000000003e-21,343.885,-29.58,75,0.314,0.579,0.086,0.744,1.285,0.296,12.039,0.255,0.438,0.051,0.438,1.0,0.198,7.479,0.234,0.45,0.062,0.537,1.193,0.262,11.485,0.2,0.365,0.054,0.467,1.28,0.294,16.885,0.173,0.317,0.055,0.478,1.509,0.387,17.009,0.152,0.299,0.055,0.472,1.579,0.418,20.374,0.168,0.295,0.051,0.442,1.496,0.382,15.604,0.157,0.275,0.043,0.374,1.362,0.326,13.541,-1.307,0.299,0.319,23.73152
J2010-1323,0.005223,4.82e-21,29.446,-23.54,77,1.248,1.32,0.043,0.375,0.284,0.032,1.974,1.034,1.094,0.037,0.322,0.294,0.034,1.879,0.877,0.962,0.038,0.335,0.348,0.042,2.109,0.845,0.874,0.039,0.345,0.394,0.05,2.238,0.654,0.726,0.034,0.295,0.407,0.052,2.432,0.59,0.671,0.035,0.309,0.46,0.062,3.189,0.534,0.62,0.044,0.387,0.625,0.095,4.525,0.516,0.564,0.037,0.325,0.576,0.085,3.286,-1.586,0.092,0.695,22.16204
J2039-3616,0.003275,9.42e-21,6.331,-36.517,74,0.657,1.056,0.129,1.112,1.053,0.216,11.843,0.588,0.853,0.093,0.801,0.939,0.18,7.679,0.452,0.824,0.111,0.952,1.156,0.251,11.198,0.306,0.905,0.154,1.326,1.465,0.371,17.028,0.377,0.811,0.137,1.179,1.454,0.366,16.284,0.283,0.502,0.072,0.62,1.235,0.279,12.523,0.2,0.422,0.07,0.603,1.428,0.355,17.669,0.198,0.395,0.067,0.579,1.465,0.371,14.703,-1.704,0.279,0.559,23.96348
J2124-3358,0.004931,2.06e-20,10.925,-45.438,77,7.536,11.159,1.22,10.706,0.959,0.183,7.112,6.504,9.329,1.056,9.27,0.994,0.193,6.92,5.973,8.039,0.768,6.736,0.838,0.148,5.518,5.274,6.708,0.561,4.923,0.734,0.121,4.288,4.699,5.756,0.416,3.654,0.635,0.097,4.05,4.31,4.918,0.318,2.795,0.568,0.083,3.531,3.781,4.161,0.248,2.175,0.523,0.074,3.103,2.992,3.46,0.205,1.797,0.519,0.073,2.717,-2.189,0.169,4.993,4.59586
J2129-5721,0.003726,2.09e-20,338.005,-43.57,81,2.165,3.753,0.455,4.099,1.092,0.219,11.258,1.751,2.758,0.288,2.591,0.939,0.172,6.522,1.313,2.677,0.327,2.94,1.098,0.221,10.204,1.207,2.006,0.242,2.182,1.088,0.217,8.074,0.721,1.465,0.234,2.106,1.437,0.343,15.845,0.475,0.911,0.125,1.122,1.233,0.266,14.479,0.428,0.799,0.129,1.163,1.455,0.35,18.254,0.277,0.578,0.097,0.875,1.516,0.375,21.892,-3.379,0.272,1.102,31.84821
J2145-0750,0.016052,2.98e-20,47.777,-42.084,76,9.284,16.606,2.194,19.123,1.152,0.246,10.736,7.389,11.88,1.397,12.179,1.025,0.204,7.814,5.727,9.036,1.005,8.758,0.969,0.187,6.994,5.01,7.466,1.007,8.779,1.176,0.255,9.627,3.702,6.818,0.999,8.706,1.277,0.291,15.144,3.3,5.67,0.78,6.798,1.199,0.263,12.686,3.562,5.375,0.754,6.572,1.223,0.271,9.524,3.105,4.586,0.541,4.719,1.029,0.205,7.457,-2.235,0.252,6.119,9.00142
J2150-0326,0.003511,8.28e-21,53.573,-40.757,70,0.785,0.991,0.081,0.675,0.681,0.113,4.829,0.618,0.815,0.079,0.657,0.806,0.146,6.1,0.482,0.63,0.054,0.454,0.721,0.123,4.581,0.454,0.561,0.057,0.476,0.848,0.158,5.525,0.453,0.537,0.056,0.472,0.879,0.167,5.108,0.264,0.368,0.047,0.393,1.069,0.228,8.424,0.2,0.291,0.034,0.282,0.968,0.194,6.685,0.184,0.298,0.04,0.337,1.13,0.249,10.728,-2.308,0.206,0.405,20.67321
J2222-0137,0.032818,5.8e-20,62.018,-46.075,74,1.483,2.124,0.254,2.185,1.029,0.208,9.548,1.519,1.979,0.215,1.845,0.932,0.178,7.409,1.229,1.601,0.156,1.341,0.837,0.151,5.122,1.158,1.488,0.142,1.218,0.818,0.146,5.945,1.111,1.358,0.123,1.057,0.778,0.135,5.157,0.817,1.101,0.095,0.821,0.745,0.126,4.544,0.76,0.936,0.079,0.682,0.729,0.122,3.913,0.887,0.952,0.083,0.71,0.746,0.126,4.237,-1.65,0.2,1.166,3.27999
J2229+2643,0.002978,1.52e-21,87.693,-26.284,66,0.912,1.523,0.241,1.959,1.286,0.316,14.84,0.643,1.037,0.138,1.123,1.082,0.239,8.966,0.674,1.612,0.317,2.574,1.597,0.454,19.413,0.518,1.314,0.292,2.371,1.804,0.559,33.575,0.547,1.229,0.3,2.438,1.984,0.659,32.709,0.418,1.032,0.251,2.036,1.972,0.652,32.138,0.343,0.841,0.242,1.969,2.34,0.879,44.482,0.337,0.571,0.103,0.835,1.463,0.392,14.881,-1.289,0.359,0.895,22.7277
J2234+0944,0.003627,2.01e-20,76.28,-40.438,69,1.788,2.75,0.53,4.399,1.6,0.445,20.015,1.57,2.473,0.423,3.51,1.42,0.364,16.666,1.052,2.288,0.443,3.682,1.609,0.45,24.84,1.117,2.489,0.463,3.843,1.544,0.419,21.473,1.175,2.456,0.382,3.172,1.292,0.312,10.883,0.845,1.586,0.218,1.81,1.141,0.255,11.619,0.704,1.318,0.183,1.517,1.151,0.258,10.76,0.592,1.06,0.143,1.19,1.123,0.248,10.687,-1.77,0.325,1.619,17.8324
J2236-5527,0.006908,1.02e-20,334.166,-52.719,49,0.436,0.631,0.084,0.587,0.931,0.219,5.889,0.339,0.467,0.061,0.428,0.916,0.213,5.511,0.289,0.444,0.068,0.474,1.067,0.272,7.028,0.235,0.377,0.074,0.517,1.37,0.408,10.94,0.179,0.27,0.043,0.304,1.125,0.296,8.988,0.167,0.253,0.042,0.293,1.16,0.31,8.087,0.13,0.248,0.046,0.323,1.305,0.377,10.997,0.147,0.222,0.038,0.264,1.186,0.322,7.484,-1.959,0.302,0.278,20.0867
J2241-5236,0.002187,6.92e-21,337.457,-54.927,84,2.837,4.86,0.566,5.189,1.068,0.207,9.426,2.898,4.115,0.437,4.005,0.973,0.179,8.075,2.478,3.326,0.313,2.868,0.862,0.148,6.872,2.041,2.619,0.22,2.018,0.771,0.125,5.274,1.753,2.096,0.161,1.476,0.704,0.109,4.323,1.283,1.655,0.109,1.003,0.606,0.087,4.284,1.137,1.379,0.082,0.755,0.548,0.075,3.789,0.957,1.156,0.068,0.625,0.54,0.074,3.773,-2.806,0.17,1.771,11.411099
J2317+1439,0.003445,2.36e-21,91.361,-42.36,68,1.173,1.631,0.151,1.247,0.765,0.137,4.57,0.832,1.339,0.137,1.133,0.846,0.16,5.302,0.751,1.136,0.158,1.305,1.149,0.259,10.595,0.429,0.893,0.141,1.163,1.302,0.318,13.716,0.411,0.636,0.088,0.724,1.139,0.256,9.848,0.307,0.484,0.078,0.647,1.337,0.332,14.458,0.261,0.425,0.06,0.492,1.159,0.263,12.121,0.166,0.401,0.095,0.782,1.951,0.63,35.055,-2.825,0.261,0.565,21.8988
J2322+2057,0.004808,9.66e-21,96.515,-37.31,55,0.514,0.703,0.088,0.654,0.93,0.206,5.947,0.34,0.644,0.095,0.701,1.088,0.264,9.896,0.361,0.664,0.108,0.802,1.208,0.313,12.757,0.324,0.567,0.096,0.715,1.261,0.336,11.589,0.245,0.413,0.068,0.501,1.214,0.316,11.913,0.214,0.339,0.048,0.357,1.053,0.251,9.532,0.149,0.292,0.048,0.356,1.219,0.317,11.16,0.134,0.263,0.048,0.354,1.344,0.373,14.496,-1.907,0.296,0.369,13.3818
J2322-2650,0.003463,5.84e-22,28.637,-70.228,71,0.273,0.379,0.045,0.375,0.989,0.2,6.967,0.259,0.345,0.038,0.317,0.921,0.178,7.216,0.249,0.323,0.03,0.257,0.794,0.142,6.02,0.26,0.28,0.022,0.185,0.661,0.108,3.891,0.22,0.249,0.018,0.151,0.609,0.095,3.316,0.216,0.241,0.014,0.119,0.496,0.071,2.741,0.188,0.2,0.011,0.096,0.478,0.068,2.532,0.166,0.194,0.012,0.097,0.501,0.072,2.814,-1.329,0.17,0.235,6.14928
